gene,geneID,GBM64_poor,GBM76_poor,GBM80_poor,GBM85_poor,GBM108_poor,GBM115_poor,GBM12_good,GBM39_good,GBM59_good
CLK2,1196,5814.80966967062,6251.48945373138,3311.37625448183,6578.71643460969,9468.77589492411,4386.91952067527,2918.38717439715,4409.83130233536,3928.52324373394
HCN3,57657,3971.55053891299,1003.03365228371,1393.90464823853,2884.66087242517,1310.38477555142,1696.67057067131,474.184031290527,255.607113853278,542.241113579369
PKLR,5313,9.82869922061086,4.11079365690046,5.11628949190326,16.3514078739263,2.93150956499198,0,0,8.5202371284426,2.72482971647924
FDPS,2224,11181.2794441242,6376.86866026684,8912.00781828526,10599.1188456113,9435.5521198542,9711.05442898285,36253.5245741212,17651.4969766678,13909.5744951974
RUSC1-AS1,284618,114.164121716326,27.7478571840781,36.3825030535343,63.3617055114645,74.2649089797969,28.9040983078588,30.1753474457608,20.6920044547892,87.1945509273357
RUSC1,23623,7195.36388327335,4227.95127612213,5161.19914410996,4702.39238107664,6199.16556010305,2854.27970790105,6160.08164285603,4139.61806769047,6157.43395181396
ASH1L,55870,12443.8892670795,15725.8411344727,13891.8629237378,8346.03110231655,26500.8464675275,10701.7423984847,15665.3160882707,10770.7969070841,8449.69695080212
POU5F1P4,645682,9.07264543441002,1.02769841422512,0,2.72523464565439,1.95433970999466,1.44520491539294,25.8645835249378,0,4.08724457471886
ASH1L-AS1,645676,170.868155681389,82.2158731380093,153.488684757098,278.655242518161,432.886245763816,130.068442385364,310.375002299254,157.015798509871,106.94956637181
MSTO1,55154,1658.78200692463,1065.72325555144,1360.93300484627,1637.18471337687,2055.96537491438,1146.0474979066,1702.75174872507,1331.59134550231,1899.88751981515
YY1AP1,55249,7977.12349820501,6288.48659664348,9237.74491593644,5531.54502201699,6875.3670997612,5783.71007140254,9944.9323653386,9560.92323484523,8607.73707435792
DAP3,7818,8156.30824553461,5187.82159500838,8083.16892059693,8265.63668026975,7515.41335478445,8220.32555875504,14527.2744131734,20565.4180745952,12701.793723368
LOC100505728,100505728,34.0224203790376,21.5816666987274,113.695322042295,146.481362203923,105.534344339711,59.976003988807,25.8645835249378,41.3840089095783,53.815386900465
MSTO2P,100129405,762.858270276643,733.776667756733,676.487166151653,827.108714956106,1234.16552686163,490.647068775903,504.359378736288,444.26950741165,780.663713771302
GON4L,54856,5665.11102000286,5934.95834215004,6466.98991776572,5869.47411807813,8634.27283875639,4618.15230713814,6668.75178551314,5281.32984290178,3973.48293405585
SYT11,23208,38749.2686503652,65171.4949380857,81030.6560195433,38125.3513840434,44570.6714261381,47590.5978638895,57863.3841092068,37341.7649804986,22442.3787523521
RIT1,6016,2830.66537553593,4676.02778472428,3110.70401107718,3866.42665352216,3708.35959971486,3558.81710415511,14984.2153887807,13003.099034736,6150.62187752276
KHDC4,22889,8283.32528161635,6643.04254955115,6784.19986626372,6507.86033382267,9195.16833552486,4548.05986874158,4793.56947995515,8612.74256012283,5763.01485035359
SNORA80E,677823,2.26816135860251,2.05539682845023,1.13695322042295,4.76916062989517,5.86301912998397,0.722602457696469,12.9322917624689,10.9545905937119,8.17448914943772
